Opponent,Results,Score,PlusMinus
Illinois,L, 67_49 ,-6.8
Kansas St.,L, 74_61 ,-3.3
Eastern Illinois,L, 65_61 ,0.4
Furman,L, 63_51 ,-4.9
Fordham,W, 64_50 ,7.9
Milwaukee,L, 59_41 ,-5.9
Green Bay,L, 57_47 ,-13.8
DePaul,L, 69_58 ,-19.1
Toledo,W, 57_55 ,-2.5
Chicago St.,W, 64_49 ,5.3
Canisius,W, 59_45 ,-0.5
Wright St.,L, 64_48 ,-10.9
Detroit,L, 65_54 ,-1.6
Youngstown St.,L, 68_64 OT,-0.9
Cleveland St.,L, 69_48 ,-8.1
Illinois Chicago,L, 58_51 ,-4.1
Valparaiso,L, 69_48 ,-12.6
Butler,L, 63_57 ,-3.2
Detroit,L, 67_52 ,-9.8
Wright St.,L, 47_41 ,-0.8
Cleveland St.,L, 65_47 ,-10.3
Youngstown St.,L, 80_63 ,-8.6
Illinois Chicago,W, 78_69 ,11.5
Butler,L, 63_57 ,-4.9
Bradley,W, 56_44 ,2.4
Valparaiso,L, 66_62 OT,-1
Green Bay,L, 73_70 OT,-1.4
Milwaukee,L, 78_69 ,-7
Detroit,L, 80_71 ,-6.3
