Opponent,Results,Score,PlusMinus
Connecticut,L, 80_60 ,-9
Holy Cross,W, 72_60 ,0
Eastern Illinois,L, 85_80 OT,0
Rhode Island,W, 76_74 OT,2.5
Notre Dame,L, 87_78 ,-1.4
San Diego,L, 77_63 ,-4.4
Utah Valley,W, 77_60 ,12.7
Eastern Illinois,W, 64_60 ,-1.4
Brown,W, 71_58 ,4.7
Florida Gulf Coast,L, 84_72 ,-4.5
Binghamton,W, 76_61 ,7.9
UMBC,W, 89_70 ,11
Boston University,L, 77_68 ,-1.6
Albany,L, 76_75 ,-0.3
Vermont,L, 79_65 ,-6.5
Hartford,L, 63_49 ,-7.3
Stony Brook,L, 58_52 ,-2.8
New Hampshire,W, 80_69 ,3
Binghamton,W, 67_59 ,7.7
UMBC,W, 77_76 OT,0.8
Vermont,L, 73_63 ,-8.9
Boston University,L, 67_54 ,-9.6
Albany,L, 76_68 ,-6.5
Hartford,L, 64_50 ,-11.9
Marist,L, 77_71 ,-6.4
New Hampshire,W, 71_58 ,4.7
Stony Brook,L, 55_48 ,-6.7
Vermont,L, 50_40 ,2.6
