Opponent,Results,Score,PlusMinus
Kentucky,L, 108_58 ,-9.7
South Florida,L, 81_67 ,-3.3
Vermont,L, 84_75 ,-3.6
Radford,W, 60_47 ,3
Bucknell,L, 74_68 ,-6.3
Colgate,W, 81_73 ,6.4
Loyola MD,L, 76_63 ,-0.2
Rider,W, 95_75 ,10.3
Army,W, 59_56 ,-3.7
New Hampshire,L, 73_56 ,-4.5
Hartford,W, 89_86 2OT,5.4
Penn,L, 84_71 ,-5.6
Columbia,W, 79_59 ,6.9
Saint Peter's,W, 71_67 ,-3.6
Rider,L, 99_86 ,-14.8
Iona,L, 100_76 ,-15
Canisius,L, 67_57 ,-10.2
Niagara,L, 86_67 ,-12.7
Manhattan,L, 61_44 ,-5.5
Siena,L, 66_55 ,-6.8
Fairfield,L, 81_53 ,-4.3
Manhattan,L, 73_51 ,-10.5
Canisius,W, 80_69 ,9.4
Saint Peter's,W, 66_47 ,7.4
Iona,L, 83_74 ,-6
Loyola MD,W, 72_54 ,1.3
Maine,W, 77_71 ,6.4
Fairfield,L, 60_49 ,-9.9
Siena,W, 61_52 ,3.7
Niagara,W, 89_77 ,12.5
Saint Peter's,W, 64_57 ,1.6
Iona,L, 87_63 ,-4.4
