Opponent,Results,Score,PlusMinus
Auburn,L, 84_62 ,-14.1
Georgia St.,L, 69_50 ,-4
Sacramento St.,W, 68_63 ,-3
California,L, 73_57 ,-3.9
Louisiana Lafayette,L, 78_56 ,-4.3
Louisiana Tech,L, 60_58 ,-5.3
UTEP,L, 69_54 ,-8.9
New Mexico St.,L, 82_62 ,-10.4
Southern Miss,L, 65_56 ,-5.6
Texas A&M Corpus Chris,W, 71_69 ,5.7
Lamar,W, 57_54 ,2
Texas St.,L, 82_73 ,-5.9
Southeastern Louisiana,W, 61_47 ,13
Northwestern St.,L, 64_61 ,-3.9
Nicholls St.,W, 60_56 ,0.3
Central Arkansas,W, 87_76 ,4.6
Sam Houston St.,W, 67_61 ,4.5
Stephen F. Austin,W, 66_56 ,6.6
Central Arkansas,W, 71_56 ,2.3
Northwestern St.,W, 70_61 ,9.1
UTSA,W, 58_54 ,3.6
Southeast Missouri St.,W, 74_61 ,-0.4
UT Arlington,L, 93_89 ,-13.6
Nicholls St.,L, 78_75 ,0.2
Southeastern Louisiana,L, 64_57 ,-6.4
Lamar,L, 78_68 ,-7.6
UTSA,W, 78_74 OT,-3.5
UT Arlington,W, 92_72 ,11
Lamar,L, 70_49 ,-5.5
Toledo,L, 76_63 ,-7.3
