Opponent,Results,Score,PlusMinus
North Carolina,L, 67_55 ,-7.2
Duke,L, 74_69 ,-4.7
Texas Southern,W, 76_41 ,17.1
Arkansas Little Rock,W, 69_47 ,11.5
Milwaukee,W, 68_55 ,6.6
Eastern Michigan,W, 72_40 ,10.9
Florida St.,W, 65_49 ,3.8
Nebraska Omaha,W, 110_68 ,23.6
Central Connecticut,W, 89_69 ,3.2
Gonzaga,W, 74_67 ,3.7
Bowling Green,W, 74_60 ,6.3
UMKC,W, 89_54 ,18.2
Lehigh,W, 90_81 ,3.2
Indiana,W, 80_65 ,4.9
Nebraska,W, 68_55 ,1.7
Wisconsin,W, 63_60 OT,0.3
Iowa,W, 95_61 ,15.6
Northwestern,L, 81_74 ,-1.5
Michigan,L, 60_59 ,-5
Purdue,W, 83_58 ,7.4
Minnesota,W, 68_52 ,7.6
Illinois,L, 42_41 ,-1.4
Michigan,W, 64_54 ,8.6
Penn St.,W, 77_57 ,10.8
Ohio St.,W, 58_48 ,5.1
Wisconsin,W, 69_55 ,8.9
Purdue,W, 76_62 ,3.7
Minnesota,W, 66_61 ,-2
Nebraska,W, 62_34 ,9.4
Indiana,L, 70_55 ,-8.1
Ohio St.,L, 72_70 ,5.7
Iowa,W, 92_75 ,10.7
Wisconsin,W, 65_52 ,4.8
Ohio St.,W, 68_64 ,1.3
LIU Brooklyn,W, 89_67 ,7
Saint Louis,W, 65_61 ,4.6
Louisville,L, 57_44 ,-4.1
