Opponent,Results,Score,PlusMinus
Louisiana Monroe,W, 60_38 ,14.9
Grambling St.,W, 69_39 ,23.6
Drake,W, 63_59 ,-3.7
Marquette,L, 96_66 ,-18.3
TCU,W, 80_69 ,2
Miami FL,W, 64_61 OT,4.8
DePaul,W, 70_68 ,5.9
Penn St.,W, 72_70 ,-0.6
Mississippi Valley St.,W, 80_56 ,10.7
Louisiana Lafayette,W, 66_54 ,8.1
Southern Miss,L, 86_82 ,-0.5
Middle Tennessee,L, 68_56 ,-3.9
Dayton,L, 62_50 ,-5.4
SMU,W, 50_48 ,1.8
LSU,L, 81_55 ,-17.3
Arkansas,W, 71_63 ,5.7
Auburn,L, 69_68 2OT,-4.1
Mississippi St.,W, 75_68 ,4.8
Georgia,W, 66_63 ,7.2
Florida,L, 64_60 ,5.3
South Carolina,W, 66_62 ,4.2
Alabama,L, 69_67 2OT,2.3
Mississippi St.,L, 70_60 ,-10.7
Auburn,W, 61_54 ,-1.5
Vanderbilt,L, 102_76 ,-14.6
Kentucky,L, 77_62 ,-8
Tennessee,L, 73_60 ,-1.4
LSU,W, 72_48 ,10.2
Arkansas,W, 77_75 ,-3.4
Alabama,W, 60_51 ,4
Auburn,W, 68_54 ,5.1
Tennessee,W, 77_72 OT,0.9
Vanderbilt,L, 65_53 ,-3.1
Illinois St.,L, 96_93 OT,-5.5
