Opponent,Results,Score,PlusMinus
Arizona St.,L, 78_72 ,-6.2
Utah,W, 70_64 ,2.9
Seattle,L, 85_73 ,-5.9
Idaho,L, 76_67 ,-10.6
San Jose St.,W, 77_70 ,5.7
Cal St. Bakersfield,W, 71_67 ,-0.6
UC Riverside,L, 75_73 ,-5.3
Pepperdine,L, 59_36 ,-6.1
New Mexico,L, 91_46 ,-26.8
Eastern Washington,L, 82_66 ,-10.6
Portland St.,W, 86_73 ,11.6
Idaho St.,W, 73_69 ,9.6
Weber St.,L, 63_49 ,-5.4
Northern Arizona,W, 74_72 ,6.6
Sacramento St.,W, 72_65 ,7.3
Northern Colorado,W, 84_72 ,11.8
Portland St.,W, 70_65 ,-1.3
Eastern Washington,L, 69_52 ,-6.9
Idaho St.,L, 87_86 OT,-4.2
Montana,L, 67_58 ,-6.8
Sacramento St.,L, 86_76 ,-4.9
Northern Colorado,L, 77_64 OT,4.1
Weber St.,L, 79_70 ,-10.1
Cal St. Fullerton,L, 80_66 ,-14.4
Montana,L, 57_47 ,-3.6
Northern Arizona,W, 79_60 ,9.3
Portland St.,L, 75_53 ,-8
