Opponent,Results,Score,PlusMinus
Colorado St.,L, 64_58 ,-3.7
Idaho,W, 57_52 ,6.9
San Diego,W, 73_60 ,3.1
North Dakota,L, 88_81 OT,-2.9
Long Beach St.,W, 73_71 ,-2.4
San Francisco,L, 65_62 ,-2.9
Oregon St.,L, 71_46 ,-10.8
Nevada,L, 70_64 ,-2.9
Portland,W, 80_65 ,6.8
Utah Valley,W, 65_52 ,5.6
Portland St.,W, 75_64 ,13.4
Eastern Washington,W, 79_71 ,1.1
Idaho St.,W, 68_44 ,12.5
Northern Arizona,W, 78_53 ,13.4
Weber St.,L, 80_64 ,-9.4
Northern Colorado,W, 76_58 ,1.8
Sacramento St.,W, 85_56 ,13.6
Eastern Washington,W, 74_60 ,6.3
Portland St.,W, 69_67 ,5.9
Montana St.,W, 67_58 ,6.8
Idaho St.,W, 76_40 ,10.6
Northern Colorado,W, 75_68 ,2.7
Sacramento St.,W, 67_58 ,0.4
Hawaii,W, 94_79 ,10.4
Northern Arizona,W, 78_60 ,15.3
Montana St.,W, 57_47 ,3.6
Weber St.,W, 66_51 ,4.9
Eastern Washington,W, 74_66 ,-1.5
Weber St.,W, 85_66 ,-0.8
Wisconsin,L, 73_49 ,-8.6
