Opponent,Results,Score,PlusMinus
UNC Asheville,W, 84_75 ,10.7
Morehead St.,W, 91_61 ,15.8
Princeton,W, 60_58 ,-1.9
Vanderbilt,L, 86_79 ,-3.1
Texas,W, 77_74 ,-6.2
Elon,W, 82_67 ,10.9
Indiana,L, 86_75 ,-2.2
Stanford,L, 76_72 ,5.3
North Carolina Central,W, 65_60 ,8.9
Syracuse,L, 88_72 ,-3.2
St. Bonaventure,W, 67_65 ,-0.5
Northeastern,W, 88_59 ,13.2
Campbell,W, 87_81 ,2.2
Western Carolina,W, 82_55 ,18.5
Delaware St.,W, 78_44 ,13.5
Maryland,W, 79_74 ,4.6
Georgia Tech,L, 82_71 ,-4.8
Wake Forest,W, 76_40 ,13.2
Boston College,W, 76_62 ,12.2
Miami FL,W, 78_73 ,6.7
North Carolina,L, 74_55 ,-12
Virginia,L, 61_60 ,-4.3
Boston College,W, 56_51 ,1.6
Wake Forest,W, 87_76 ,3.5
Georgia Tech,W, 61_52 ,1.9
Duke,L, 78_73 ,10.3
Florida St.,L, 76_62 ,-9.6
North Carolina,L, 86_74 ,-8.9
Clemson,L, 72_69 OT,-0.9
Miami FL,W, 77_73 ,2.2
Virginia Tech,W, 70_58 ,6.2
Boston College,W, 78_57 ,10.1
Virginia,W, 67_64 ,3.3
North Carolina,L, 69_67 ,0.1
San Diego St.,W, 79_65 ,3.4
Georgetown,W, 66_63 ,0.9
Kansas,L, 60_57 ,-2
