Opponent,Results,Score,PlusMinus
Vanderbilt,L, 78_64 ,-5
Eastern Washington,W, 73_65 ,-1.7
Southeast Missouri St.,W, 86_61 ,12.7
Nebraska,W, 83_76 ,3.5
UTEP,W, 64_59 ,2.2
BYU,L, 79_65 ,-9
Fresno St.,W, 74_70 ,2.3
Portland St.,W, 79_70 ,4.3
Virginia,L, 67_54 ,-1.8
North Carolina Central,W, 58_45 ,3.9
Prairie View A&M,W, 74_66 ,4.2
Stephen F. Austin,W, 55_45 ,1.4
Washington St.,W, 92_75 ,13.7
Washington,L, 76_60 ,-7.8
Stanford,W, 78_67 ,2.3
California,L, 77_60 ,-3.6
Arizona St.,W, 67_58 ,3.9
Arizona,W, 59_57 ,6.8
USC,W, 65_62 ,3.5
UCLA,W, 75_68 ,-4.6
Oregon St.,L, 76_71 ,1.3
Utah,W, 79_68 ,-0.5
Colorado,L, 72_71 ,1
Washington,W, 82_57 ,16.8
Washington St.,W, 78_69 ,1.2
California,L, 86_83 ,0.9
Stanford,W, 68_64 ,-3.2
Oregon St.,W, 74_73 ,2.2
Colorado,W, 90_81 ,2.2
Utah,W, 94_48 ,27
Colorado,L, 63_62 ,-1.5
LSU,W, 96_76 ,12
Iowa,W, 108_97 ,-2.8
Washington,L, 90_86 ,-1.1
