Opponent,Results,Score,PlusMinus
UMBC,W, 59_45 ,7.5
Temple,L, 73_67 OT,-0.3
Rider,W, 78_72 OT,2
Robert Morris,W, 66_60 ,2.9
Wagner,L, 71_65 ,-2.9
Pittsburgh,L, 78_58 ,-7.8
James Madison,L, 60_58 ,0
Manhattan,W, 75_72 ,-1.4
Villanova,L, 73_65 ,-10.5
Delaware,W, 69_60 ,6
UCLA,L, 77_73 ,-5.4
Marist,W, 84_71 ,5.6
Davidson,L, 75_70 ,-1.4
Duke,L, 85_55 ,-15.4
Lafayette,W, 78_73 ,1.4
La Salle,L, 68_57 ,-8
Columbia,W, 66_64 ,2.8
Cornell,W, 64_52 ,9.5
Saint Joseph's,W, 84_80 ,9.3
Princeton,W, 82_67 ,7.8
Yale,L, 60_53 ,-0.5
Brown,W, 65_48 ,9.3
Harvard,L, 56_50 ,-3.3
Dartmouth,W, 58_55 ,4.2
Cornell,W, 73_66 ,1.4
Columbia,W, 61_59 OT,1.6
Dartmouth,W, 57_54 ,3
Harvard,W, 55_54 ,-3.5
Brown,W, 54_43 ,-0.2
Yale,W, 68_47 ,9
Princeton,L, 62_52 ,-8.3
Quinnipiac,W, 74_63 ,6.9
Butler,L, 63_53 ,-2.1
