Opponent,Results,Score,PlusMinus
Arizona St.,W, 66_60 ,6.8
Cal St. Bakersfield,L, 79_70 ,-5.5
Central Michigan,L, 67_57 ,-8.5
UTSA,W, 70_64 OT,-3.7
UCLA,L, 62_39 ,-10.3
Hawaii,W, 73_67 ,1
Northern Arizona,W, 49_40 ,5.9
Cal St. Northridge,L, 73_70 ,1.1
Montana St.,W, 59_36 ,6.1
Washington St.,L, 67_56 ,-11
San Francisco,W, 77_61 ,6.8
Saint Mary's,L, 74_45 ,-14.2
Gonzaga,L, 73_45 ,-13.9
Portland,L, 53_43 ,-6.5
Loyola Marymount,L, 68_58 ,-2.3
San Francisco,L, 78_63 ,-4.5
Saint Mary's,L, 61_47 ,-7.4
BYU,L, 77_64 ,-4.5
San Diego,L, 65_56 ,-8.8
Santa Clara,W, 74_62 ,4.6
Loyola Marymount,L, 67_57 ,-3.8
Gonzaga,L, 72_60 ,-8.8
San Diego,L, 70_57 ,-6.9
BYU,L, 86_48 ,-21.6
Seattle,L, 81_70 ,-5.6
Portland,W, 70_65 ,3.5
Santa Clara,W, 63_57 ,2.1
San Diego,L, 76_54 ,-8.9
