Opponent,Results,Score,PlusMinus
Albany,W, 89_56 ,17.6
Rider,W, 86_78 ,3.5
Long Beach St.,L, 86_76 ,-6
La Salle,W, 73_69 ,5.3
Penn,W, 78_58 ,7.8
Robert Morris,W, 81_71 ,13.3
Duquesne,W, 80_69 ,6.2
Tennessee,W, 61_56 ,0.8
VMI,W, 97_70 ,16.3
Oklahoma St.,W, 74_68 ,8.2
South Carolina St.,W, 69_55 ,4.3
St. Francis PA,W, 71_47 ,17.5
Wagner,L, 59_54 ,-3.1
Notre Dame,L, 72_59 ,-2.4
Cincinnati,L, 66_63 ,-0.6
DePaul,L, 84_81 ,4.3
Rutgers,L, 62_39 ,-8.4
Marquette,L, 62_57 ,1.9
Syracuse,L, 71_63 ,-8.4
Louisville,L, 73_62 ,-3.6
Providence,W, 86_74 ,8.8
Georgetown,W, 72_60 ,8.3
West Virginia,W, 72_66 ,1.1
Villanova,W, 79_70 ,6.5
South Florida,L, 63_51 ,-5.6
Seton Hall,L, 73_66 ,-1.8
West Virginia,L, 66_48 ,-4.4
South Florida,L, 56_47 ,-5.6
Louisville,L, 57_54 ,-1.5
St. John's,W, 89_69 ,7.9
Connecticut,L, 74_65 ,-6.2
St. John's,W, 73_59 ,5.1
Georgetown,L, 64_52 ,-3.5
Wofford,W, 81_63 ,12
Princeton,W, 82_61 ,12.9
Butler,W, 68_62 OT,-1.2
Washington St.,L, 67_66 ,-0.9
Washington St.,W, 57_53 ,5.4
Washington St.,W, 71_65 ,2.8
