Opponent,Results,Score,PlusMinus
Northern Illinois,W, 96_34 ,21.3
High Point,W, 67_65 ,2.7
Iona,W, 91_90 ,-0.2
Temple,W, 85_77 ,2.6
Alabama,L, 65_56 ,-5.2
Western Michigan,W, 80_37 ,10.8
Coppin St.,W, 78_57 ,9.5
Miami FL,W, 76_65 ,6.5
Xavier,L, 66_63 ,10.6
Western Carolina,W, 65_60 ,0.9
Eastern Michigan,W, 61_36 ,9.2
Butler,L, 67_65 ,7.4
IPFW,W, 81_56 ,18.9
Iowa,W, 79_76 ,3.7
Illinois,W, 75_60 ,4.1
Penn St.,L, 65_45 ,-9.8
Minnesota,W, 79_66 ,9.4
Wisconsin,L, 67_62 ,-9.5
Iowa,W, 75_68 ,0.4
Michigan St.,L, 83_58 ,-7.4
Michigan,L, 66_64 ,-3.3
Northwestern,W, 58_56 ,1.6
Indiana,L, 78_61 ,-5.1
Ohio St.,L, 87_84 ,-2.2
Northwestern,W, 87_77 ,2.5
Illinois,W, 67_62 ,4.8
Michigan St.,L, 76_62 ,-3.7
Nebraska,W, 83_65 ,13
Michigan,W, 75_61 ,5
Penn St.,W, 80_56 ,7.2
Indiana,L, 85_74 ,-11.2
Nebraska,W, 79_61 ,8
Ohio St.,L, 88_71 ,-5.6
Saint Mary's,W, 72_69 ,6.1
Kansas,L, 63_60 ,5.5
