Opponent,Results,Score,PlusMinus
UNC Greensboro,W, 92_63 ,13.9
Louisiana Monroe,W, 85_62 ,4.6
Duke,L, 77_67 ,-3.2
Memphis,L, 99_97 2OT,-4.8
Oakland,L, 89_81 ,-6.7
Pittsburgh,L, 61_56 ,-0.8
Austin Peay,L, 74_70 ,4.2
College of Charleston,L, 71_65 ,1
UNC Asheville,W, 72_68 ,-3.8
East Tennessee St.,W, 66_63 ,-3.7
The Citadel,W, 86_55 ,11.2
Chattanooga,W, 76_63 ,6.2
Memphis,L, 69_51 ,-6.2
Florida,W, 67_56 ,4.8
Mississippi St.,L, 62_58 ,-4.4
Kentucky,L, 65_62 ,2.3
Georgia,L, 57_53 OT,-0.9
Connecticut,W, 60_57 ,2.1
Vanderbilt,L, 65_47 ,-14.9
Auburn,W, 64_49 ,7.4
Kentucky,L, 69_44 ,-13.8
Georgia,W, 73_62 ,-0.3
South Carolina,W, 69_57 ,4.1
Florida,W, 75_70 ,9.6
Arkansas,W, 77_58 ,14.2
Alabama,L, 62_50 ,-4.8
Mississippi,W, 73_60 ,1.4
South Carolina,W, 73_64 ,7
LSU,W, 74_69 OT,-4.7
Vanderbilt,W, 68_61 ,2.9
Mississippi,L, 77_72 OT,-0.9
Savannah St.,W, 65_51 ,9.6
Middle Tennessee,L, 71_64 ,-1.1
