Opponent,Results,Score,PlusMinus
VMI,L, 103_100 ,-9
Army,W, 83_72 ,-6.3
Clemson,L, 73_50 ,-12.1
High Point,L, 80_72 OT,-4
College of Charleston,L, 83_64 ,-6.2
Wofford,L, 82_63 ,-11.7
Coastal Carolina,L, 80_58 ,-14.9
Charleston Southern,L, 88_69 ,-6.4
James Madison,L, 67_49 ,-12.4
Denver,L, 70_58 ,-11.5
Tennessee,L, 86_55 ,-11.2
Furman,L, 77_45 ,-9.5
Samford,W, 73_62 ,8.1
Elon,L, 70_55 ,-10.3
UNC Greensboro,L, 67_66 ,-0.1
Davidson,L, 80_51 ,-23.4
Georgia Southern,L, 78_72 2OT,-0.7
Wofford,L, 62_55 ,-0.7
Furman,L, 67_58 ,-1.6
UNC Greensboro,L, 82_71 ,-7.9
Elon,L, 71_66 ,-0.4
Davidson,L, 77_66 ,-12.4
Georgia Southern,L, 73_72 OT,2.5
Western Carolina,L, 70_53 ,-10.6
Chattanooga,W, 48_46 ,0.7
Appalachian St.,W, 62_51 ,3.2
College of Charleston,L, 55_47 ,-2.4
Western Carolina,L, 68_56 ,-6.8
