Opponent,Results,Score,PlusMinus
UTEP,L, 52_41 ,-4.4
Youngstown St.,L, 53_49 OT,-0.4
Villanova,L, 71_46 ,-10.4
Boston College,L, 66_62 OT,0.4
Washington St.,W, 64_63 ,-5.7
USC,L, 56_35 ,-7.3
Montana St.,W, 75_73 ,5.3
Nevada,L, 71_47 ,-12.2
San Diego St.,L, 80_55 ,-14.2
San Jose St.,W, 66_64 ,6
UTSA,W, 70_65 ,5.4
Cal St. Northridge,L, 63_52 ,-12.6
UC Davis,W, 60_58 ,2.8
Pacific,W, 64_57 ,5.4
UC Santa Barbara,W, 79_70 OT,1.8
Cal Poly,W, 60_53 ,3.4
Cal St. Fullerton,L, 72_61 ,-2.2
Long Beach St.,L, 77_70 OT,1.4
UC Irvine,L, 65_57 ,-1.1
Pacific,L, 60_52 ,-3.6
UC Davis,W, 59_54 ,-0.5
Cal Poly,L, 54_52 ,-2.7
UC Santa Barbara,L, 60_52 ,2.8
Cal St. Fullerton,L, 77_64 ,-13.7
Southern Utah,W, 57_52 ,-0.6
Cal St. Northridge,W, 63_61 ,1.4
Long Beach St.,L, 64_40 ,-17.4
UC Irvine,W, 72_69 OT,7.4
Cal Poly,L, 66_54 ,-3
