Opponent,Results,Score,PlusMinus
Louisiana Tech,W, 68_61 ,-0.6
North Texas,W, 97_64 ,27.2
Baylor,L, 75_65 ,-8.1
Samford,L, 71_69 ,-7.4
UT Rio Grande Valley,W, 92_60 ,11.4
Texas,L, 80_62 ,-6.6
Tulsa,L, 80_75 OT,-1.2
Utah St.,L, 73_69 ,-6.8
Kent St.,W, 74_73 ,0.2
Saint Peter's,W, 73_68 ,5.6
UT Rio Grande Valley,W, 83_56 ,12
Southeastern Louisiana,W, 85_46 ,10.2
Nicholls St.,W, 85_55 ,16
Sam Houston St.,W, 66_40 ,9.2
Lamar,W, 91_82 ,8.5
Texas A&M Corpus Chris,W, 77_73 ,9.4
Stephen F. Austin,W, 63_54 ,2.7
Houston Baptist,W, 79_74 ,5.1
Texas St.,W, 82_79 ,-2.5
UTSA,W, 67_66 ,0.7
Central Arkansas,W, 69_61 ,6.8
Sam Houston St.,W, 75_63 ,5.6
Texas St.,W, 73_53 ,10.3
Stephen F. Austin,W, 51_47 ,-3.6
Weber St.,L, 72_70 ,-3.7
McNeese St.,W, 93_89 ,13.6
Northwestern St.,W, 79_70 ,0.3
Texas A&M Corpus Chris,W, 78_64 ,4.2
UTSA,L, 97_88 ,-8.3
Nicholls St.,W, 96_48 ,19.9
McNeese St.,L, 92_72 ,-11
Washington,L, 82_72 ,-2.7
