Opponent,Results,Score,PlusMinus
UTEP,W, 73_64 ,8.9
Oral Roberts,W, 78_77 ,-1.1
Oklahoma St.,L, 90_85 OT,0.5
Colorado St.,L, 85_75 ,-1.1
Fresno St.,W, 83_79 ,8.9
Pepperdine,L, 70_64 OT,3.7
San Jose St.,L, 72_66 ,7.9
Samford,W, 74_52 ,4.1
Houston,L, 77_75 ,0.1
Troy,W, 76_70 ,0.2
UC Riverside,L, 70_65 ,-5.4
Bowling Green,W, 86_79 OT,3.4
Nicholls St.,W, 91_50 ,8.1
Sam Houston St.,W, 62_60 ,0.2
Texas A&M Corpus Chris,L, 50_49 ,-6.1
Stephen F. Austin,W, 59_52 ,5.8
Northwestern St.,W, 80_62 ,9.1
Texas St.,W, 80_75 ,8.8
Sam Houston St.,W, 78_66 ,10.7
UT Arlington,L, 67_66 ,-0.7
Lamar,L, 80_66 ,-4.5
Southeastern Louisiana,W, 59_51 ,-0
Stephen F. Austin,L, 59_51 ,-7.8
McNeese St.,L, 58_54 ,-3.6
Georgia St.,L, 82_71 ,-9.2
Texas A&M Corpus Chris,W, 86_82 OT,-1.6
Texas St.,L, 66_52 ,-4.7
Central Arkansas,W, 73_60 ,7.6
UT Arlington,W, 97_88 ,8.3
McNeese St.,L, 78_74 OT,3.5
