Opponent,Results,Score,PlusMinus
Georgia,L, 62_49 ,-5.5
Wisconsin,L, 69_33 ,-13.4
Bradley,W, 70_66 ,5
UMKC,L, 64_58 OT,-2.2
Prairie View A&M,W, 56_49 ,2.9
Davidson,L, 72_69 ,-1
The Citadel,W, 82_63 ,11.7
Tulane,W, 61_50 ,5.7
Jacksonville,W, 63_57 ,6.8
High Point,L, 87_79 ,-11.1
South Carolina,L, 57_45 ,-4.3
Wake Forest,W, 56_52 ,5.1
College of Charleston,W, 75_58 ,6.8
Western Carolina,L, 67_57 ,-7.1
Chattanooga,L, 51_48 ,-4.2
Georgia Southern,W, 88_63 ,16.9
Appalachian St.,W, 73_61 ,4.8
Furman,W, 79_72 ,-1.1
The Citadel,W, 62_55 ,0.7
College of Charleston,W, 68_59 ,7.5
Western Carolina,W, 82_56 ,8.7
Samford,L, 66_61 OT,0.4
Davidson,L, 76_54 ,-11.6
Georgia Southern,L, 63_49 ,-8.8
Appalachian St.,W, 66_64 ,4.6
Elon,W, 72_59 ,11.5
Charleston Southern,L, 77_59 ,-10
UNC Greensboro,W, 68_56 ,2.4
Furman,W, 67_52 ,6.3
Western Carolina,L, 82_59 ,-8.7
Pittsburgh,L, 81_63 ,-12
