Opponent,Results,Score,PlusMinus
Tennessee Martin,W, 84_68 ,6.3
Louisiana Tech,L, 70_52 ,-10.8
Mississippi,L, 92_52 ,-12.8
Milwaukee,W, 59_43 ,3.8
Jacksonville,W, 78_56 ,8.3
SMU,W, 69_56 ,2.2
South Carolina,L, 74_62 ,-13.9
Troy,W, 58_56 ,-3.3
Louisiana Monroe,W, 83_58 ,4.9
Cincinnati,L, 87_53 ,-17.2
Tulsa,W, 72_65 ,8.8
Louisiana Tech,L, 75_73 ,0.5
South Alabama,L, 77_62 ,-6
Louisiana Lafayette,L, 79_70 ,-5
Western Kentucky,W, 75_67 ,5
Troy,L, 67_64 ,1
North Texas,W, 67_53 ,1.4
FIU,W, 88_76 ,11
Middle Tennessee,L, 82_50 ,-11.9
Western Kentucky,W, 59_54 ,-0.6
Florida Atlantic,W, 65_62 ,-8.9
North Texas,W, 62_57 ,3.5
South Alabama,L, 70_66 ,-7.6
Louisiana Monroe,W, 70_60 ,5.9
Arkansas St.,L, 86_62 ,-14.7
Middle Tennessee,L, 66_61 ,-7.7
FIU,L, 65_52 ,-3.8
Florida Atlantic,L, 73_59 ,-6.1
Louisiana Lafayette,W, 77_68 ,-
Arkansas St.,W, 78_71 ,-1.7
FIU,L, 69_54 ,-9.2
