Opponent,Results,Score,PlusMinus
IPFW,W, 61_50 ,-1.8
Murray St.,L, 79_59 ,-20.3
College of Charleston,W, 55_51 ,1.6
Dayton,L, 73_63 ,-7
Boston College,L, 50_49 ,-2.3
Rhode Island,L, 78_72 2OT,3.4
DePaul,L, 80_76 ,-0.1
Grambling St.,W, 92_42 ,13.3
Furman,W, 64_50 ,9.4
Tennessee Tech,W, 81_62 ,-
Winthrop,L, 74_67 ,-5
Illinois,L, 81_79 ,-4.4
Florida St.,W, 78_72 ,-
LSU,W, 68_63 ,4.4
South Carolina,W, 74_71 ,-
Arkansas,L, 88_80 2OT,-1.9
Kentucky,L, 75_53 ,-6.8
Vanderbilt,L, 73_61 ,-5.1
Mississippi,L, 63_61 ,1.7
Georgia,L, 57_49 ,-0.7
Missouri,L, 91_77 ,-8.9
Alabama,W, 49_37 ,-2.3
Kentucky,L, 72_62 ,-5.7
Arkansas,L, 83_75 ,-4.2
Florida,L, 83_52 ,-16.9
Texas A&M,L, 65_56 ,1.2
Mississippi,L, 88_55 ,-13.3
Alabama,L, 61_43 ,-9.3
Vanderbilt,L, 62_55 ,-3.2
Tennessee,L, 82_75 ,-2.7
Mississippi St.,L, 74_71 OT,-0.5
Texas A&M,L, 71_62 ,-5.5
