Opponent,Results,Score,PlusMinus
Texas Southern,W, 81_63 ,12.8
Oakland,W, 88_80 ,4.5
Louisiana Lafayette,W, 63_57 ,2.5
Michigan St.,L, 74_70 ,-0.7
UC Santa Barbara,W, 72_56 ,12.1
Creighton,W, 83_70 ,-
Seattle,W, 87_64 ,15.3
Utah,L, 76_55 ,-15.9
LSU,W, 89_70 ,7.4
Idaho,W, 78_68 ,-2.9
New Orleans,W, 67_51 ,13.7
UT Arlington,W, 64_46 ,10.9
Wyoming,W, 63_61 ,0.6
New Mexico,L, 79_74 OT,1
Air Force,L, 91_80 ,-7.4
Fresno St.,W, 74_67 ,0.6
Nevada,L, 75_59 ,-4.8
Colorado St.,L, 77_57 ,-10.7
UNLV,W, 77_72 ,5.8
San Diego St.,L, 63_62 ,-6.1
Wyoming,W, 68_61 ,9.8
New Mexico,L, 60_50 ,-3.9
Air Force,W, 77_65 ,8.5
Fresno St.,W, 72_63 ,5.6
Nevada,W, 73_47 ,15.4
Colorado St.,W, 78_65 ,4.9
UNLV,L, 68_64 ,4.5
San Diego St.,W, 69_65 ,7.6
San Diego St.,L, 73_67 ,-5.8
La Salle,L, 80_71 ,-7.7
