Opponent,Results,Score,PlusMinus
FIU,W, 84_70 ,7.8
Baylor,L, 84_74 ,-1.8
Dayton,L, 87_71 ,-6.5
College of Charleston,L, 71_67 ,0.2
Auburn,W, 50_49 ,2.3
Bryant,L, 56_54 ,-0.7
Penn St.,W, 73_61 ,6.9
Harvard,L, 79_63 ,-7.3
St. Francis NY,W, 72_64 ,1.7
New Hampshire,W, 61_59 OT,-3.4
Providence,W, 71_68 ,0.8
Holy Cross,W, 70_60 ,6
Dartmouth,W, 79_58 ,6.5
North Carolina St.,L, 78_73 ,1.1
Virginia Tech,W, 86_75 ,2.6
Wake Forest,L, 75_72 ,-2.1
Miami FL,L, 60_59 ,1.5
Maryland,L, 64_59 ,-2.8
Virginia,L, 65_51 ,-4.9
North Carolina,L, 82_70 ,-9.6
Clemson,W, 75_68 ,9.2
Miami FL,L, 72_50 ,-10.6
Duke,L, 62_61 ,0.8
Wake Forest,W, 66_63 ,0.5
Florida St.,L, 69_66 ,-3.8
Maryland,W, 69_58 ,-0.1
Duke,L, 89_68 ,-17.4
North Carolina St.,L, 82_64 ,-9.3
Virginia,W, 53_52 ,-3.3
Clemson,W, 68_61 ,-0.8
Georgia Tech,W, 74_72 ,-2.4
Georgia Tech,W, 84_64 ,0.2
Miami FL,L, 69_58 ,-3.7
