Opponent,Results,Score,PlusMinus
Eastern Illinois,W, 76_53 ,-
UT Rio Grande Valley,W, 78_61 ,-
IUPUI,W, 79_72 ,-
South Florida,L, 82_63 ,-
Tennessee Martin,W, 80_57 ,-
Central Michigan,W, 82_65 ,9.8
Michigan,L, 74_66 ,-6.2
George Washington,W, 72_68 ,-
Georgia Southern,W, 62_43 ,-
Mississippi Valley St.,W, 77_42 ,-
Virginia Tech,L, 66_65 OT,-
Portland,L, 57_55 ,-
Drake,W, 67_57 ,7
Southern Illinois,W, 66_60 ,-
Wichita St.,L, 69_63 ,-1.2
Indiana St.,L, 68_53 ,-
Northern Iowa,L, 84_53 ,-
Southern Illinois,W, 69_66 ,-
Missouri St.,W, 69_66 ,-
Evansville,L, 66_56 ,-4.3
Wichita St.,L, 73_39 ,-6.1
Illinois St.,W, 83_77 ,-
Creighton,L, 75_58 ,-4.4
Evansville,W, 76_70 ,-
Northern Iowa,L, 68_65 ,-7
Illinois St.,L, 79_59 ,-
Indiana St.,W, 80_68 ,1.4
Drake,L, 92_84 OT,2.6
Illinois Chicago,W, 63_62 ,-4.5
Creighton,L, 80_62 ,-
Missouri St.,L, 64_56 ,-5.2
Drake,L, 81_66 ,-6.6
Green Bay,W, 75_69 ,-4.4
Tulane,W, 77_72 ,-1.1
Northern Iowa,L, 90_77 ,-2.3
