Opponent,Results,Score,PlusMinus
Binghamton,W, 58_49 ,2.6
Central Connecticut,L, 86_71 ,-7.6
Maine,W, 70_68 ,2
Bryant,L, 68_61 ,-7.9
St. Francis NY,L, 76_72 OT,-6
Sacred Heart,W, 69_56 ,4.9
New Hampshire,L, 63_50 ,-4
Notre Dame,L, 84_57 ,-11.2
Northwestern,L, 63_42 ,-12.3
Providence,W, 69_68 ,-0.6
Albany,L, 57_50 ,-1.4
Rhode Island,L, 59_47 ,-6.2
Niagara,W, 75_74 OT,-4.7
Yale,W, 65_51 ,8
Yale,L, 76_64 OT,-3.9
Dartmouth,W, 62_50 ,11.6
Harvard,L, 89_82 2OT,-7.9
Princeton,L, 63_46 ,-8.6
Penn,L, 71_48 ,-4.1
Columbia,W, 58_55 ,-2.7
Cornell,L, 69_66 ,-5.7
Harvard,L, 65_47 ,-10.3
Dartmouth,W, 59_50 ,9
Cornell,W, 84_65 ,9.5
Columbia,W, 61_58 ,-
Penn,L, 66_64 ,0.3
Princeton,W, 80_67 ,5.8
