Opponent,Results,Score,PlusMinus
Stanford,L, 81_68 ,-3.6
Nevada,L, 80_77 ,3.6
Southern Utah,W, 112_69 ,17.5
Green Bay,W, 93_82 ,15.1
Eastern Washington,L, 79_75 ,-
Washington,L, 74_72 ,7.2
Cal St. Bakersfield,L, 72_70 ,3
Idaho St.,W, 66_53 ,6.7
Texas Southern,W, 93_86 ,-
UC Santa Barbara,W, 86_79 ,7.9
Hawaii,L, 90_88 ,2.4
Cal St. Northridge,W, 105_86 ,9.1
Cal St. Bakersfield,W, 74_62 ,3.8
UC Riverside,W, 71_69 ,4
UC Irvine,L, 92_65 ,-14.8
Long Beach St.,L, 81_71 ,-2.3
UC Davis,W, 95_88 ,-0.1
Pacific,L, 71_67 ,-1.7
Cal St. Northridge,L, 92_86 ,-6.9
Hawaii,L, 77_75 ,2.3
UC Riverside,W, 79_67 ,-2.2
Long Beach St.,L, 85_65 ,-7.9
UC Irvine,L, 86_66 ,-10.4
Cal Poly,W, 77_60 ,11.5
Texas A&M Corpus Chris,W, 63_57 ,2.3
Pacific,L, 64_55 ,-8.8
UC Davis,L, 71_68 ,-3
UC Santa Barbara,L, 66_50 ,-3.5
Cal Poly,L, 62_60 ,-1.3
Long Beach St.,L, 75_66 ,-6.2
