Opponent,Results,Score,PlusMinus
Wofford,W, 74_59 ,10.8
Dayton,W, 67_57 ,0.2
Baylor,W, 60_58 ,0.6
Murray St.,W, 81_74 ,1.1
Air Force,W, 89_74 ,4.2
Texas Southern,W, 85_80 2OT,-2.4
Wyoming,L, 76_69 ,-2
Colorado St.,W, 70_61 ,-
Kansas,L, 90_54 ,-19.6
Fresno St.,W, 50_43 ,4.6
Northern Arizona,W, 98_51 ,28.1
Hartford,W, 80_52 ,20.2
Arizona,L, 92_83 OT,8
Arizona St.,L, 65_56 ,2.7
USC,W, 66_60 ,7.5
UCLA,L, 78_75 ,-2.9
Washington,L, 64_54 ,-5.7
Washington St.,W, 58_49 ,2.4
Stanford,W, 75_54 ,10.8
California,W, 81_71 ,10.6
Utah,L, 58_55 ,-5.8
Oregon,W, 48_47 ,-3.8
Oregon St.,W, 72_68 ,2
Arizona,W, 71_58 ,6.4
Arizona St.,L, 63_62 OT,-0.4
Utah,W, 60_50 ,2.8
Stanford,W, 65_63 ,-1.6
California,L, 62_46 ,-3.7
Oregon,W, 76_53 ,13.3
Oregon St.,L, 64_58 ,-1.4
Oregon St.,W, 74_68 ,4.2
Arizona,L, 79_69 ,-7.2
Illinois,L, 57_49 ,-3.7
