Opponent,Results,Score,PlusMinus
Columbia,L, 68_47 ,-16.9
Clemson,L, 72_55 ,-13.4
Mercer,L, 73_46 ,-9.4
Western Carolina,L, 79_65 ,-3.2
Loyola Chicago,L, 77_50 ,-9.4
Presbyterian,W, 81_57 ,7.6
Auburn,L, 64_50 ,-9.4
Wake Forest,L, 79_55 ,-5.9
Jacksonville,L, 65_53 ,-5.3
SMU,L, 72_53 ,-11.4
College of Charleston,L, 60_56 ,-4.3
Davidson,L, 81_73 ,0.6
Wofford,W, 69_65 ,9
Elon,L, 73_59 ,-12.3
UNC Greensboro,W, 69_61 ,-2.6
Wofford,L, 63_50 ,-4.6
Georgia Southern,W, 81_74 ,5.3
The Citadel,L, 84_79 ,6.8
UNC Greensboro,L, 88_65 ,-14.4
Elon,L, 64_60 ,3.5
Appalachian St.,L, 72_66 ,-6.8
Chattanooga,L, 83_49 ,-11.3
Samford,L, 64_53 ,-3.4
Davidson,L, 73_36 ,-18.4
Georgia Southern,L, 78_61 ,-6.3
The Citadel,L, 68_57 ,-5.2
College of Charleston,L, 74_50 ,-
Samford,W, 55_51 ,-1
Appalachian St.,L, 74_60 ,-10.9
