Opponent,Results,Score,PlusMinus
North Carolina,L, 76_59 ,-8.5
Lipscomb,L, 66_62 ,-
DePaul,W, 71_59 ,9.2
Iowa,L, 65_56 ,5.7
Howard,W, 55_43 ,7.2
Austin Peay,W, 72_62 ,1.4
Illinois,L, 63_62 ,1
Wofford,L, 54_42 ,-6.9
Tennessee Tech,W, 61_41 ,9.9
The Citadel,W, 71_58 ,1.9
East Carolina,L, 62_60 ,-3.2
Campbell,L, 93_81 3OT,-0.2
UNC Asheville,W, 78_71 ,10.7
High Point,L, 70_64 ,-5.9
Coastal Carolina,W, 66_65 ,6.2
Radford,L, 52_51 ,-9.8
Winthrop,L, 61_55 ,-3.8
VMI,W, 63_49 ,6.9
Charleston Southern,W, 74_73 OT,1.5
Longwood,W, 76_65 ,2
Presbyterian,L, 57_54 ,2
Liberty,W, 71_68 ,1.7
UNC Asheville,W, 67_65 ,-6.7
Coastal Carolina,W, 70_63 ,-0.5
Winthrop,W, 65_52 ,-1.6
College of Charleston,W, 55_52 ,2
Charleston Southern,W, 67_62 OT,-2.9
Presbyterian,W, 76_57 ,6.1
Campbell,W, 71_57 ,9.3
Liberty,L, 65_62 ,-3.7
Eastern Kentucky,L, 69_62 ,-4.7
