Opponent,Results,Score,PlusMinus
Virginia,W, 63_59 ,0.6
Bucknell,L, 61_56 ,-6.2
Mercer,W, 52_49 ,-
New Mexico,L, 70_69 ,1.9
Quinnipiac,W, 74_58 ,5.6
Boston University,W, 48_45 ,-0.7
Rhode Island,W, 55_52 ,3.5
Maryland,L, 69_62 ,-3.8
UMBC,W, 74_63 ,11.3
Northern Iowa,L, 82_77 OT,-2.4
Richmond,W, 67_64 ,-4.7
South Florida,L, 61_57 ,-3.9
Northeastern,L, 84_74 ,1.3
William & Mary,W, 73_66 ,2.2
Old Dominion,W, 71_46 ,9
UNC Wilmington,L, 82_74 ,-0.5
James Madison,W, 68_57 ,-0.9
Hofstra,W, 57_46 ,5.3
Towson,W, 77_67 ,4.1
Northeastern,L, 71_51 ,-6
Drexel,L, 58_54 ,7.6
James Madison,W, 74_63 ,5.9
Old Dominion,W, 85_74 ,9.4
Delaware,L, 79_72 ,-6.8
Drexel,W, 68_62 ,-2.3
Georgia St.,L, 78_60 ,-11.1
Hofstra,W, 79_50 ,11.7
William & Mary,W, 60_58 ,-1.5
Towson,L, 85_81 OT,-4.4
Delaware,L, 82_77 ,0.9
Drexel,W, 60_54 ,4.5
Northeastern,L, 69_67 ,7.5
College of Charleston,W, 78_77 ,2.3
Houston,W, 88_84 OT,8.3
Western Michigan,W, 62_52 ,5.4
Santa Clara,L, 81_73 ,-5.3
Santa Clara,W, 73_66 ,8.3
Santa Clara,L, 80_77 ,1.8
