Opponent,Results,Score,PlusMinus
Youngstown St.,L, 80_73 ,-2.7
Boston University,W, 72_59 ,9.8
Notre Dame,L, 65_48 ,-10.2
Hofstra,W, 80_56 ,-
Mount St. Mary's,L, 65_56 ,-0.8
James Madison,W, 54_53 ,-1.2
Manhattan,W, 67_55 ,0.9
Bradley,L, 72_68 ,-
Kansas St.,L, 65_62 ,0.7
Rutgers,L, 68_65 ,-4.9
VMI,W, 76_67 ,2.7
Sacred Heart,W, 77_38 ,17.2
Georgia,L, 52_41 ,-0.9
St. Bonaventure,W, 78_59 ,13.6
Xavier,L, 71_56 ,-8.7
Temple,L, 55_53 ,4.5
Massachusetts,W, 79_76 ,5.3
Rhode Island,W, 66_65 ,0.3
Charlotte,W, 82_54 ,9.5
La Salle,L, 80_71 ,-11.3
Duquesne,W, 79_57 ,11.8
Butler,L, 59_56 ,-8.3
VCU,L, 84_57 ,-9.4
Fordham,W, 68_60 ,5.4
Saint Joseph's,L, 71_59 ,-12.1
Richmond,L, 73_64 ,3.4
Saint Louis,L, 66_58 ,-3.7
La Salle,L, 84_70 ,-11
Dayton,W, 81_80 OT,-2.2
Massachusetts,L, 77_72 ,0.5
