Opponent,Results,Score,PlusMinus
Hawaii,L, 76_64 ,-11.4
Houston Baptist,L, 70_55 ,-11.4
Arkansas Pine Bluff,L, 62_52 ,-7.6
South Florida,L, 78_59 ,-9
Western Michigan,L, 68_51 ,-5.5
Loyola Chicago,L, 62_46 ,-0.8
Delaware St.,L, 76_66 ,-8.8
Maryland,L, 100_68 ,-16.4
Cincinnati,L, 92_60 ,-20.3
Connecticut,L, 84_50 ,-13.2
Ohio,L, 93_57 ,-15.8
American,L, 63_49 ,-6.4
Norfolk St.,L, 63_58 ,0.4
Delaware St.,W, 58_53 ,7.4
Florida A&M,L, 55_54 ,-3.2
Bethune Cookman,L, 58_57 ,0.6
North Carolina A&T,L, 46_44 ,-4.1
North Carolina Central,L, 82_54 ,-17.1
Howard,L, 63_44 ,-10
Norfolk St.,L, 85_63 ,-
Morgan St.,L, 87_55 ,-16.3
Coppin St.,W, 64_62 2OT,0.7
Hampton,L, 63_59 ,-6.2
Howard,L, 49_45 ,3.1
Morgan St.,L, 58_45 ,-4.7
Coppin St.,L, 63_60 ,-5.2
Savannah St.,L, 71_54 ,-7.5
Savannah St.,L, 59_44 ,-7.9
