Opponent,Results,Score,PlusMinus
LIU Brooklyn,W, 77_74 ,2.2
Maryland,L, 67_45 ,-11.2
Lafayette,W, 88_74 ,4.3
Kentucky,L, 81_70 ,-0.7
Norfolk St.,W, 73_67 ,-0
Marshall,L, 70_67 ,-0.3
Wright St.,L, 66_57 ,-8.6
North Dakota St.,L, 69_57 ,-11.4
Indiana St.,W, 71_63 ,6.1
South Dakota,L, 85_75 ,-3.6
North Dakota St.,L, 69_49 ,-8.8
Southern Miss,L, 94_58 ,-17.9
SIU Edwardsville,W, 68_64 ,5.3
Eastern Illinois,W, 65_50 ,6
Austin Peay,L, 84_81 OT,-8.3
Eastern Kentucky,L, 59_52 ,-6.4
Southeast Missouri St.,W, 75_59 ,2.3
Tennessee Martin,W, 88_74 ,8.6
Belmont,L, 64_63 ,7.1
Tennessee St.,W, 78_69 ,-0.5
Belmont,L, 93_74 ,-14.7
Jacksonville St.,L, 70_59 ,-12.4
Eastern Kentucky,L, 68_47 ,-7.5
Jacksonville St.,W, 85_81 ,3.1
Tennessee Tech,W, 65_63 ,-1.2
Murray St.,L, 106_100 2OT,-5.3
Oakland,L, 82_79 OT,2.9
Tennessee St.,W, 101_100 ,8.5
Tennessee Tech,L, 72_66 ,-0.4
Tennessee Martin,W, 73_66 ,4
Tennessee St.,L, 88_75 ,-8.3
