Opponent,Results,Score,PlusMinus
Toledo,W, 84_81 OT,-
North Dakota,W, 72_47 ,10.6
Louisville,L, 51_46 ,-6.1
Stanford,L, 66_50 ,-5.7
Memphis,L, 52_47 ,2.4
Milwaukee,W, 72_61 ,3
Northern Colorado,W, 76_59 ,13.3
George Mason,W, 82_77 OT,2.4
UNLV,L, 73_59 ,-14.9
Saint Mary's,W, 82_75 ,4.5
Wichita St.,L, 66_41 ,-10.3
Indiana St.,L, 65_61 ,-3.1
Illinois St.,W, 70_60 ,5.1
Evansville,L, 62_59 ,-5.3
Bradley,W, 84_53 ,-
Creighton,L, 79_68 ,-4.4
Drake,W, 85_55 ,9.9
Southern Illinois,W, 58_45 ,9.3
Indiana St.,L, 59_58 ,2
Evansville,L, 54_51 OT,1
Wichita St.,W, 57_52 ,1
Missouri St.,W, 48_37 ,-0.1
Bradley,W, 68_65 ,7
Creighton,W, 61_54 ,2.7
Drake,W, 71_64 ,2
Missouri St.,W, 69_63 ,2.2
Denver,L, 63_57 ,-
Southern Illinois,L, 63_57 ,-7.7
Illinois St.,W, 80_72 ,0.9
Illinois St.,L, 73_65 ,-5.3
North Dakota,W, 77_66 ,9.9
Illinois Chicago,W, 63_51 ,2.2
Bradley,W, 90_77 ,2.3
Weber St.,L, 59_56 ,-4.3
