Opponent,Results,Score,PlusMinus
Louisiana Lafayette,L, 90_79 ,-1.4
Boise St.,L, 88_80 ,-4.5
Pittsburgh,L, 72_62 OT,6.1
Texas Southern,W, 71_69 ,-1.3
Michigan St.,L, 70_52 ,-7.3
Tennessee,L, 77_50 ,-16.7
Western Michigan,L, 76_72 ,-0.7
Ohio,L, 78_61 ,-2.7
Valparaiso,W, 70_68 ,1.7
West Virginia,L, 76_71 ,0.6
Eastern Michigan,W, 59_57 ,7.1
Western Illinois,L, 73_63 ,-3.2
IUPUI,W, 84_62 ,11.9
Nebraska Omaha,W, 91_79 ,8.4
Alabama,L, 65_45 ,-6.8
South Dakota St.,L, 81_74 ,-0.9
North Dakota St.,L, 73_65 ,-7.2
UMKC,W, 81_68 ,6.3
South Dakota,L, 97_78 ,-4.1
IUPUI,W, 89_71 ,9.3
Western Illinois,W, 67_60 ,1.8
Nebraska Omaha,W, 96_81 ,0.4
North Dakota St.,W, 66_63 ,1
South Dakota St.,W, 88_83 ,2.5
South Dakota,W, 76_75 ,-0.9
UMKC,W, 86_74 ,12
IPFW,L, 77_71 ,-2.5
Morehead St.,W, 82_79 OT,-2.9
IPFW,L, 74_72 ,0.1
IPFW,L, 91_72 ,-10.7
Youngstown St.,L, 99_87 ,-2
