Opponent,Results,Score,PlusMinus
Niagara,W, 102_83 ,11.7
New Mexico St.,W, 71_62 ,6.3
Alabama,L, 65_62 ,-3.5
Purdue,W, 66_58 ,6.5
Montana St.,W, 78_65 ,6.9
Kansas,L, 84_78 ,-6.6
Grambling St.,W, 85_54 ,18.2
Portland St.,W, 79_74 ,1.7
Chicago St.,W, 87_77 ,-
Howard,W, 69_53 ,9.5
San Diego,W, 86_79 ,8.4
Towson,L, 67_66 OT,-
UT Rio Grande Valley,W, 84_59 ,11.3
Oregon,L, 79_66 ,-0
Arizona St.,L, 72_62 ,-3.4
Arizona,L, 80_70 ,-7.4
UCLA,L, 74_64 ,-9.2
USC,L, 69_68 ,-
Washington,W, 74_66 ,8.6
Washington St.,L, 71_68 ,0.1
California,L, 71_68 ,4.7
Stanford,L, 81_73 ,-1.8
Utah,W, 82_64 ,7.5
Colorado,L, 72_68 ,-2
Washington St.,W, 67_66 ,7.1
Washington,L, 72_62 ,-2.2
Stanford,L, 82_72 ,-2.5
California,L, 60_59 ,-7.1
Oregon,L, 85_75 ,-1.5
Utah,L, 72_61 ,-8
Colorado,W, 64_58 ,1.4
Colorado,L, 74_68 ,-4.2
