Opponent,Results,Score,PlusMinus
Texas Tech,L, 89_79 ,-9.6
Texas A&M,L, 81_59 ,-7.8
TCU,L, 44_39 ,4.3
UAB,L, 76_70 ,-0.2
Navy,W, 42_40 ,-4.9
Fairleigh Dickinson,L, 84_70 ,2
Houston,W, 81_80 ,1.6
UCLA,L, 95_53 ,-17.6
California,L, 85_53 ,-11.6
Houston,L, 80_75 ,-8.9
Alcorn St.,L, 68_54 ,-9
Southern,L, 50_45 ,-4.1
Texas Southern,L, 65_60 ,1.8
Grambling St.,W, 60_44 ,8.8
Jackson St.,W, 73_59 ,2.2
Mississippi Valley St.,L, 73_64 ,-4.7
Arkansas Pine Bluff,L, 55_51 ,-2.6
Alabama St.,W, 74_72 ,5.5
Alabama A&M,W, 65_46 ,10.8
Texas Southern,L, 84_48 ,-10.7
Grambling St.,W, 63_53 ,8.5
Jackson St.,L, 65_60 ,-7.3
Mississippi Valley St.,W, 80_77 ,9.6
Arkansas Pine Bluff,L, 76_47 ,-8.4
Alabama St.,W, 65_56 ,-2
Alabama A&M,W, 61_57 OT,-4
Alcorn St.,L, 81_75 ,-3.6
Southern,L, 61_39 ,-5.9
Alcorn St.,W, 67_59 ,4.9
Jackson St.,W, 88_75 ,2.5
Southern,L, 45_44 ,-0.2
