Opponent,Results,Score,PlusMinus
Arkansas Little Rock,L, 84_68 ,-6.3
Cincinnati,L, 80_57 ,-19.9
Arkansas St.,L, 77_73 3OT,-0.4
Bradley,L, 80_57 ,-
Memphis,L, 93_65 ,-13.4
Kennesaw St.,W, 65_63 ,-1.8
Central Arkansas,L, 87_86 ,-
Lipscomb,L, 86_62 ,-12.7
Saint Louis,L, 73_51 ,-13.3
Samford,L, 75_62 ,-5.9
Southeast Missouri St.,L, 65_60 ,3.4
Jacksonville St.,L, 64_54 ,-4.9
Murray St.,L, 73_62 ,-13.1
Austin Peay,W, 76_74 OT,-4.7
Tennessee St.,L, 80_48 ,-12.3
Belmont,L, 90_53 ,-16.6
Morehead St.,L, 88_74 ,-8.6
Eastern Illinois,L, 69_56 ,-2.8
SIU Edwardsville,W, 65_62 ,4.3
Eastern Kentucky,W, 72_65 ,-0.9
Eastern Illinois,L, 93_65 ,-7.9
SIU Edwardsville,W, 77_68 ,5.5
Southeast Missouri St.,L, 96_74 ,-13.1
Tennessee Tech,L, 83_68 ,-12.3
Longwood,W, 89_79 ,0.7
Murray St.,W, 69_68 ,4.5
Austin Peay,L, 91_58 ,-17.3
Morehead St.,L, 73_66 ,-4
