Opponent,Results,Score,PlusMinus
BYU,L, 81_66 ,-5.2
South Dakota St.,L, 78_71 ,-9.1
Minnesota,L, 72_43 ,-15.1
South Alabama,W, 68_57 ,-
Georgia St.,L, 59_57 ,-0.6
Monmouth,L, 81_70 ,-
Alabama A&M,W, 83_72 ,-
Drexel,W, 76_66 ,0.3
Missouri,L, 68_38 ,-4.1
Middle Tennessee,L, 77_48 ,-16.4
USC Upstate,W, 67_64 ,0.3
Eastern Illinois,W, 67_59 ,10.9
Tennessee Tech,W, 72_66 ,2.3
Jacksonville St.,W, 66_57 ,3.5
Tennessee Martin,W, 80_48 ,12.3
Southeast Missouri St.,W, 81_69 ,8.8
Jacksonville St.,W, 66_60 ,3.2
Belmont,L, 78_66 ,-10.9
Eastern Kentucky,L, 76_67 ,-8.3
Morehead St.,L, 78_69 ,0.5
Tennessee Tech,W, 84_65 ,13.1
Austin Peay,W, 88_82 OT,-
Murray St.,L, 69_48 ,-6.7
Belmont,W, 80_69 ,0.1
SIU Edwardsville,W, 83_73 ,2.7
Loyola MD,L, 69_67 ,7.3
Morehead St.,L, 101_100 ,-8.5
Eastern Kentucky,W, 85_81 OT,-1
Morehead St.,W, 88_75 ,8.3
Belmont,L, 82_73 ,-2.3
Evansville,L, 84_72 ,-8.7
