Opponent,Results,Score,PlusMinus
Coppin St.,W, 87_73 ,10.3
Long Beach St.,W, 62_44 ,4.1
Illinois,L, 94_64 ,-18.9
Texas,W, 59_53 OT,0.7
Marquette,L, 72_64 ,-6.2
San Diego St.,L, 66_60 ,-7.2
Nebraska,L, 63_51 ,-6.9
New Mexico,L, 75_67 ,-4.7
Minnesota,L, 71_57 ,-10.9
UC Riverside,W, 70_26 ,18.4
UC Irvine,L, 61_54 ,-6.7
Georgia,L, 64_56 ,-1.3
Dayton,W, 63_61 OT,4.1
Stanford,W, 71_69 ,-3.1
California,L, 72_64 ,-2.4
Colorado,L, 66_60 ,-7.5
Utah,W, 76_59 ,6.3
Oregon,L, 76_74 ,-4.5
Oregon St.,W, 69_68 ,-
Arizona St.,L, 98_93 OT,-
Arizona,L, 74_50 ,-16.9
UCLA,W, 75_71 OT,4.3
Washington St.,W, 72_68 ,0.5
Washington,W, 71_60 ,9.8
Stanford,W, 65_64 ,4.5
California,L, 76_68 ,4.2
UCLA,L, 75_59 ,-14.4
Arizona,W, 89_78 ,5.8
Arizona St.,W, 57_56 ,9.7
Washington,L, 65_57 ,-0.4
Washington St.,L, 76_51 ,-11.4
Utah,L, 69_66 ,-5.5
