Opponent,Results,Score,PlusMinus
Southeastern Louisiana,W, 87_47 ,23
Florida,L, 74_56 ,-11.3
Cornell,W, 73_40 ,-
Presbyterian,W, 88_43 ,21.4
Creighton,L, 84_74 ,-1.5
Arkansas,W, 77_70 ,-2.8
Virginia,L, 60_54 ,-2.4
California,W, 81_56 ,12.7
Nebraska Omaha,W, 86_40 ,18.2
Marquette,L, 60_50 ,-7.8
Green Bay,W, 65_54 ,4.2
Milwaukee,W, 74_53 ,15.1
Samford,W, 87_51 ,19.5
Penn St.,W, 60_51 ,5.5
Nebraska,W, 47_41 ,0.9
Illinois,W, 74_51 ,17.7
Indiana,W, 64_59 ,2.1
Iowa,L, 70_66 ,-11.5
Michigan St.,L, 49_47 ,0.1
Minnesota,W, 45_44 ,-0.8
Ohio St.,L, 58_49 ,-0.1
Illinois,W, 74_68 ,6
Iowa,W, 74_70 2OT,0.8
Michigan,W, 65_62 OT,0.8
Minnesota,L, 58_53 OT,3.1
Ohio St.,W, 71_49 ,14.5
Northwestern,W, 69_41 ,11.3
Nebraska,W, 77_46 ,15.4
Purdue,L, 69_56 ,1.5
Michigan St.,L, 58_43 ,-8.1
Penn St.,W, 63_60 ,1.8
Michigan,W, 68_59 ,-0.6
Indiana,W, 68_56 ,2.2
Ohio St.,L, 50_43 ,-0.2
Mississippi,L, 57_46 ,0.8
