Opponent,Results,Score,PlusMinus
George Mason,L, 63_60 ,3.5
UMBC,W, 63_61 OT,-0.4
Ohio St.,L, 63_52 ,-4.5
Mount St. Mary's,L, 68_64 ,-4.9
Columbia,L, 61_47 ,-8.5
St. Francis PA,W, 75_43 ,12
Howard,W, 76_53 ,16.5
Brown,L, 72_67 ,-4.4
Saint Mary's,L, 59_44 ,-9.2
San Francisco,L, 77_69 ,-3.8
Maryland Eastern Shore,W, 71_58 ,9.9
Bucknell,W, 67_57 ,8.5
Holy Cross,W, 69_54 ,8.2
Loyola MD,W, 65_51 ,2.3
Colgate,W, 69_62 ,-0.6
Lehigh,W, 65_63 ,4.4
Lafayette,W, 66_61 ,-0.1
Boston University,W, 86_56 ,7.1
Army,W, 84_74 ,2.6
Navy,W, 74_52 ,12.1
Holy Cross,W, 63_57 ,2.8
Loyola MD,L, 62_58 ,-0.7
Colgate,L, 63_60 ,-6.5
Lehigh,W, 64_44 ,6.5
Lafayette,L, 74_62 ,-0.7
Boston University,L, 71_62 ,0.2
Army,W, 58_54 ,10.4
Navy,W, 64_55 ,1.4
Bucknell,L, 56_51 ,-2
Colgate,W, 59_50 ,9.8
Holy Cross,W, 57_46 ,-0.6
Boston University,W, 55_36 ,6.5
Wisconsin,L, 75_35 ,-6.2
