Opponent,Results,Score,PlusMinus
Georgia Tech,L, 68_50 ,-11.6
Clemson,L, 58_37 ,-9.6
George Washington,L, 94_50 ,-23.1
Delaware,L, 80_70 ,-4.8
Buffalo,L, 65_55 ,-4.5
Dayton,L, 56_46 ,-7.6
Coppin St.,L, 73_54 ,-9.8
Howard,L, 64_62 OT,0.9
Oklahoma St.,L, 75_43 ,-13.8
St. Francis NY,L, 60_57 ,-1.5
Gardner Webb,W, 66_65 OT,-3.4
Campbell,W, 70_60 ,1.6
Hampton,L, 73_60 ,-7
Norfolk St.,L, 58_56 ,0.8
North Carolina Central,L, 62_52 ,-6.8
North Carolina A&T,L, 66_55 ,-10.2
NJIT,L, 65_59 OT,4
Morgan St.,L, 77_64 ,1.8
Coppin St.,L, 54_53 ,-1.7
South Carolina St.,W, 61_53 ,1.4
Savannah St.,W, 79_59 ,10.9
Bethune Cookman,W, 79_67 ,5.3
Florida A&M,L, 68_63 ,-4.1
Maryland Eastern Shore,W, 84_71 ,4.6
Morgan St.,W, 59_56 ,4
Howard,L, 55_53 ,-3.1
Maryland Eastern Shore,L, 84_70 ,-6.3
Florida A&M,L, 65_61 ,0.6
