Opponent,Results,Score,PlusMinus
Richmond,L, 71_69 ,-3.1
Charleston Southern,L, 95_93 ,-5.3
Hampton,W, 90_79 ,9.1
Army,W, 89_74 ,9.3
Villanova,L, 84_80 ,-0.9
Delaware St.,W, 80_70 ,4.8
Robert Morris,W, 86_67 ,8.6
Charleston Southern,W, 85_80 ,7.6
Notre Dame,L, 80_75 ,-4.9
North Dakota St.,L, 85_66 ,-8.7
Ohio St.,L, 76_64 ,-6.1
Bryant,W, 108_107 OT,-0
St. Bonaventure,L, 80_73 ,-9.3
Liberty,W, 77_64 ,0.3
Cal Poly,W, 82_72 ,9.5
Hofstra,W, 86_79 ,-0.9
James Madison,W, 78_74 ,-0.8
William & Mary,W, 76_71 ,-2
Northeastern,W, 74_70 ,1.6
Drexel,W, 90_77 ,10.2
Towson,W, 83_76 ,7.9
William & Mary,W, 89_72 ,12.9
UNC Wilmington,W, 66_65 ,-0.7
Northeastern,W, 80_67 ,13.7
College of Charleston,W, 67_64 ,-7.7
James Madison,W, 81_65 ,13.1
Towson,L, 78_63 ,-5.6
Hofstra,W, 81_77 ,-5.5
Drexel,L, 69_65 ,-0.4
UNC Wilmington,W, 70_57 ,1.1
College of Charleston,W, 89_86 ,0.9
Hofstra,W, 87_76 ,0.7
Northeastern,W, 87_74 ,6.9
William & Mary,W, 75_74 ,1.6
Michigan St.,L, 93_78 ,-9.3
