Opponent,Results,Score,PlusMinus
Illinois Chicago,W, 61_59 ,-1.6
Saint Mary's,L, 67_63 ,-8.5
Nebraska Omaha,W, 88_80 ,-0
Fresno St.,W, 84_74 ,0.1
Northern Arizona,W, 76_56 ,12.9
Cal St. Bakersfield,W, 65_57 ,4.8
Iowa,L, 83_66 ,-5.5
New Mexico St.,L, 81_69 OT,-7.4
Western Michigan,W, 71_68 ,-1
Albany,W, 71_63 ,5.9
IUPUI,W, 75_52 ,11
Evansville,W, 94_66 ,10
Bradley,L, 68_57 ,-10.1
Indiana St.,L, 77_73 ,-3
Northern Iowa,L, 76_66 ,0.5
Loyola Chicago,L, 70_60 ,2
Illinois St.,L, 77_63 ,-11.9
Southern Illinois,W, 57_54 ,5.6
Wichita St.,L, 78_61 ,-7.7
Missouri St.,W, 84_74 ,1.1
Illinois St.,L, 75_57 ,-9.1
Southern Illinois,L, 74_58 ,-12.1
Indiana St.,L, 60_56 ,-4.2
Missouri St.,L, 69_63 ,-2.7
Loyola Chicago,W, 70_62 ,8.6
Northern Iowa,W, 70_67 ,10.5
Wichita St.,L, 83_54 ,-11.7
Evansville,L, 61_48 ,-2
Bradley,W, 71_66 ,-3.4
Evansville,L, 69_61 ,-5.5
