Opponent,Results,Score,PlusMinus
Sacred Heart,W, 67_54 ,6.5
Hartford,L, 63_53 ,-3.5
Loyola MD,L, 59_52 ,-5.6
Holy Cross,L, 63_49 ,-6.1
Louisville,L, 71_57 ,-8.9
Richmond,L, 68_47 ,-14.4
Providence,L, 78_69 ,-11.3
Quinnipiac,L, 83_79 ,-3
Iona,L, 83_72 ,-8.2
Northeastern,W, 64_60 ,4.4
Green Bay,L, 74_58 ,-6.9
Bucknell,W, 73_64 ,4.2
Marist,L, 75_56 ,-9.1
Manhattan,L, 83_57 ,-11.8
Saint Peter's,L, 56_55 ,7
Iona,L, 84_75 ,-6.7
Niagara,L, 67_63 ,-0
Manhattan,W, 71_67 ,7.8
Belmont,L, 62_53 ,-7.3
Monmouth,L, 63_60 ,2.9
Siena,L, 64_56 ,3.6
Canisius,L, 84_58 ,-5.9
Rider,L, 73_65 ,-5
Monmouth,W, 60_56 ,-1.1
Siena,L, 77_75 ,5.3
Quinnipiac,L, 80_72 ,-10
Rider,L, 71_62 ,-0.6
Niagara,W, 72_66 ,4.7
Canisius,L, 90_78 ,0.5
Saint Peter's,L, 63_62 ,0.3
Marist,W, 78_74 ,11.2
Saint Peter's,L, 65_62 OT,-0.3
