Opponent,Results,Score,PlusMinus
Miami FL,L, 81_80 OT,-0.1
West Virginia,L, 101_68 ,-24.7
Old Dominion,L, 86_69 ,-11.5
Oral Roberts,L, 67_65 ,-4.3
Presbyterian,W, 76_66 ,6
Campbell,L, 75_73 OT,-1.7
South Carolina St.,W, 79_61 ,9.1
UAB,L, 84_62 ,-8.5
Kennesaw St.,W, 73_55 ,7.8
Georgia St.,L, 73_61 ,-3.7
North Carolina A&T,W, 66_63 ,-0.4
Campbell,L, 69_63 ,-1.7
Samford,W, 80_78 ,5.7
Western Carolina,L, 68_67 ,-1.4
Furman,W, 88_81 OT,-3.5
Appalachian St.,L, 81_68 ,-3.6
Wofford,L, 74_64 ,-7.7
Davidson,L, 82_52 ,-20.7
The Citadel,W, 83_52 ,17.4
UNC Greensboro,W, 64_62 ,1.5
Wofford,L, 74_61 ,3
Elon,L, 60_59 ,1.2
UNC Greensboro,L, 68_56 ,-0.1
Davidson,L, 88_73 ,-7.9
Chattanooga,W, 77_61 ,2.1
Elon,L, 66_61 ,-5
Furman,W, 82_73 ,5
The Citadel,L, 80_63 ,-2.3
Furman,W, 65_50 ,10
Chattanooga,W, 62_55 ,-2.4
Wofford,L, 71_57 ,-13.1
