Opponent,Results,Score,PlusMinus
VCU,L, 96_58 ,-23.8
Drexel,L, 78_70 ,-4.5
Northwestern,W, 68_64 ,7.9
Manhattan,L, 79_70 ,-6.3
Vermont,L, 87_76 ,6.1
San Francisco,W, 90_76 ,6.1
Chicago St.,W, 75_56 ,2.6
Dayton,W, 81_75 ,6.3
Oakland,L, 90_75 ,-3.2
Tennessee St.,W, 64_58 ,6.2
DePaul,W, 69_64 ,0.3
Missouri St.,L, 78_70 OT,5.5
Southern Illinois,W, 66_48 ,4.8
Wichita St.,L, 66_47 ,-11.7
Loyola Chicago,W, 59_50 ,2.5
Evansville,W, 79_78 OT,1.3
Drake,W, 77_63 ,11.9
Wichita St.,L, 70_55 ,-2.5
Indiana St.,L, 76_62 ,-10
Bradley,L, 64_45 ,-1.9
Drake,W, 75_57 ,9.1
Northern Iowa,W, 76_65 ,0.3
Loyola Chicago,L, 79_69 ,-12.3
Evansville,L, 104_98 OT,-12.9
Bradley,W, 70_54 ,5.9
Missouri St.,W, 67_63 ,4.3
Northern Iowa,L, 72_59 ,-10.9
Indiana St.,W, 77_59 ,14.7
Southern Illinois,L, 66_65 ,0.6
Missouri St.,L, 53_48 ,-4.2
Morehead St.,W, 77_67 ,5
Texas A&M,W, 62_55 ,0.3
Siena,L, 61_49 ,-8.5
