Opponent,Results,Score,PlusMinus
Temple,W, 81_77 ,-3.3
Seton Hall,L, 78_76 ,-6.6
Saint Peter's,W, 75_58 ,3.9
Western Carolina,W, 72_59 ,4.4
USC Upstate,W, 79_78 ,2.3
Niagara,W, 102_97 ,5
Youngstown St.,W, 83_79 ,3.1
Kennesaw St.,W, 68_51 ,5.9
Bucknell,L, 66_59 ,-0.9
College of Charleston,W, 58_54 ,0.4
Cleveland St.,L, 78_70 ,-3.4
Princeton,L, 73_68 ,-6.2
Ohio,L, 59_53 ,-1.8
Ball St.,W, 86_74 ,-3.4
Northern Illinois,W, 73_64 OT,-3.9
Buffalo,L, 71_60 ,-2.5
Western Michigan,L, 75_59 ,-10.4
Toledo,L, 81_78 ,0.8
Northern Illinois,L, 50_49 ,4.8
Akron,W, 60_57 ,-0.2
Central Michigan,L, 78_73 OT,0.3
Eastern Michigan,L, 70_53 ,-9.6
Bowling Green,W, 62_61 ,-4.4
Central Michigan,W, 83_75 ,5.5
Miami OH,W, 75_63 ,8.2
Buffalo,L, 78_69 ,-0.3
Bowling Green,L, 73_66 ,-5.2
Ohio,W, 75_61 ,8.3
Miami OH,L, 73_61 ,-13
Akron,L, 58_54 ,1.5
Miami OH,L, 71_64 ,-2.9
