Opponent,Results,Score,PlusMinus
Binghamton,W, 79_74 ,-1.4
Cornell,W, 93_89 OT,-1.2
Fairfield,W, 59_52 ,5.6
Connecticut,L, 76_66 ,-8.2
West Virginia,L, 96_47 ,-19.4
Mount St. Mary's,L, 70_58 ,-3.2
Stony Brook,L, 76_69 ,-6.7
Saint Joseph's,L, 88_77 ,-20.5
Miami FL,L, 71_48 ,-15.1
Navy,W, 63_57 OT,-3.8
Army,L, 91_82 ,-5.3
American,L, 65_51 ,-2.3
Lehigh,W, 72_68 ,5.6
Lafayette,W, 77_63 ,3.7
Boston University,L, 72_58 ,-2.5
Bucknell,L, 70_60 ,-4.3
Colgate,W, 67_60 ,2.4
Holy Cross,L, 60_51 ,-8.1
Army,L, 77_71 ,0.6
American,W, 62_58 ,0.7
Lehigh,L, 66_52 ,-6.5
Lafayette,L, 61_44 ,-7.8
Boston University,L, 87_72 ,-10.2
Bucknell,L, 55_53 ,-3.7
Colgate,L, 84_60 ,-9.6
Holy Cross,L, 65_52 ,-1.7
Navy,W, 67_65 ,-2.2
Lafayette,L, 84_71 ,-4.5
