Opponent,Results,Score,PlusMinus
Ohio St.,L, 89_50 ,-17.6
Towson,L, 95_75 ,-12.6
San Diego,L, 68_61 ,-1
Ohio,L, 65_62 ,1.8
La Salle,L, 78_59 ,-5.3
Vanderbilt,L, 75_66 ,-7.6
Marist,W, 74_67 OT,1.3
Maryland,L, 89_62 ,-13.4
Howard,W, 87_58 ,10.4
High Point,W, 85_74 ,5.9
Cal St. Northridge,L, 86_80 ,-5.9
Oregon,L, 97_76 ,-15.3
UC Irvine,L, 75_63 ,-6.4
South Carolina St.,W, 73_56 ,10.2
Norfolk St.,W, 87_70 ,10.1
Hampton,W, 80_71 ,3.8
North Carolina A&T,L, 68_67 OT,3.9
North Carolina Central,L, 53_52 ,4.1
Delaware St.,W, 77_64 ,-1.8
Hampton,W, 94_92 2OT,-3.2
Norfolk St.,L, 64_53 ,-5.4
Coppin St.,W, 82_77 ,5.1
Maryland Eastern Shore,W, 88_72 ,13.6
Coppin St.,W, 78_69 ,1.8
Delaware St.,L, 59_56 ,-4
Bethune Cookman,W, 65_61 ,5.6
Florida A&M,L, 78_73 ,-0.9
Howard,W, 68_66 OT,2.2
Florida A&M,W, 81_68 ,6.8
Coppin St.,W, 79_64 ,14.7
North Carolina Central,L, 71_62 ,-2.6
