Opponent,Results,Score,PlusMinus
Utah Valley,L, 78_71 ,-4.7
Rhode Island,L, 72_59 ,-4.2
Georgia Tech,L, 78_71 ,-0.4
Mississippi,L, 84_50 ,-11.6
Longwood,W, 85_78 ,5.7
Monmouth,L, 76_61 ,-2.6
Wright St.,W, 62_59 ,1.1
Radford,L, 72_52 ,-14.6
East Carolina,L, 84_71 ,-14.3
Eastern Kentucky,L, 84_73 ,-13.9
Saint Louis,L, 79_57 ,-10.5
Georgia Southern,L, 66_63 ,0.4
Charlotte,L, 88_72 ,-5
Bethune Cookman,W, 70_67 ,6.4
Florida A&M,L, 76_66 ,-3
NJIT,W, 88_82 ,8.9
Delaware St.,W, 66_55 ,10.2
North Carolina Central,L, 84_44 ,-13.2
Morgan St.,W, 68_67 OT,-3.9
Coppin St.,L, 70_54 ,-15.4
Maryland Eastern Shore,L, 67_60 ,-13.4
Howard,L, 68_60 ,-
Florida A&M,W, 84_78 ,5.8
Bethune Cookman,L, 72_71 ,-0.2
Savannah St.,L, 73_48 ,-15.9
South Carolina St.,L, 75_70 OT,-0.6
North Carolina Central,L, 73_55 ,-9
Savannah St.,L, 71_67 OT,-0.2
South Carolina St.,W, 62_60 ,-2
Hampton,L, 89_71 ,-5
Howard,L, 53_47 ,-2
