Opponent,Results,Score,PlusMinus
Wagner,W, 74_62 ,7.6
Bucknell,L, 90_80 ,0
Penn,W, 83_71 ,14.8
La Salle,W, 79_72 ,0.6
Longwood,W, 93_67 ,7.8
Monmouth,W, 84_52 ,10.2
St. John's,W, 89_82 OT,3.9
Mississippi,L, 79_76 ,-3.4
Pittsburgh,L, 78_69 ,0.2
Marshall,W, 90_77 ,14.2
Duquesne,W, 68_59 ,7.6
Princeton,L, 81_79 OT,8.4
Mount St. Mary's,W, 92_82 ,-1.1
Michigan St.,L, 79_63 ,-0.7
Illinois,L, 75_55 ,-8.1
Minnesota,L, 68_65 ,0.1
Indiana,L, 79_76 ,3.7
Michigan,L, 80_67 ,-8.1
Purdue,L, 65_64 ,-2.1
Nebraska,W, 58_54 ,-3.5
Ohio St.,W, 71_70 OT,-2.5
Purdue,W, 79_68 ,4.2
Michigan St.,L, 82_67 ,-14
Illinois,L, 60_55 ,0.3
Indiana,W, 66_65 ,-5.7
Iowa,L, 82_70 ,-4.3
Nebraska,L, 80_67 ,-10.5
Ohio St.,W, 65_63 ,-2.2
Wisconsin,L, 71_66 ,-4.4
Northwestern,W, 59_32 ,13
Minnesota,L, 81_63 ,-14
Minnesota,L, 63_56 ,-7.5
Hampton,W, 69_65 ,5.4
Siena,L, 54_52 ,0.5
