Opponent,Results,Score,PlusMinus
Florida A&M,W, 67_50 ,11
Butler,L, 70_67 ,-4
Lafayette,W, 81_80 OT,-1.3
Rice,W, 70_56 ,8.1
George Mason,W, 71_66 ,8
Bucknell,W, 66_53 ,1.4
Fairleigh Dickinson,W, 77_55 ,8.2
Rutgers,W, 78_73 ,1.7
Penn St.,W, 81_79 OT,-8.4
Pacific,W, 83_58 ,12.4
Portland,L, 93_79 ,-3.9
Kent St.,W, 73_68 ,6.2
Liberty,W, 80_74 ,1.6
Penn,L, 77_74 ,-4.7
Harvard,L, 82_76 ,-4.5
Dartmouth,L, 78_69 OT,-1.4
Columbia,L, 53_52 ,5.5
Cornell,W, 69_48 ,11.2
Brown,W, 69_65 ,-0.5
Yale,L, 66_65 OT,1.6
Dartmouth,W, 67_57 ,7.7
Harvard,L, 59_47 ,2.6
Yale,W, 57_46 ,2.1
Brown,W, 69_64 ,7.6
Cornell,W, 91_51 ,19.2
Columbia,W, 74_64 ,7.2
Penn,W, 70_65 ,1.3
Tulane,W, 56_55 ,6.2
Fresno St.,L, 72_56 ,-5.7
