Opponent,Results,Score,PlusMinus
Hartford,W, 82_77 ,-1.2
La Salle,L, 73_67 ,-3.5
Albany,W, 79_69 ,1.4
Hampton,W, 71_68 ,-5.4
Maine,W, 102_61 ,10.3
Boston University,L, 69_66 ,0.9
Fairfield,W, 83_79 ,3
Rider,L, 90_78 ,-4.4
Vermont,W, 80_67 ,7.6
Lehigh,L, 69_58 ,-8
Oregon St.,L, 76_68 ,-3.9
Monmouth,W, 94_77 ,10.4
Iona,W, 86_74 ,18.3
Manhattan,W, 81_76 ,0.3
Saint Peter's,L, 74_67 ,-8.1
Monmouth,W, 70_61 ,0.3
Niagara,W, 85_71 ,10
Iona,L, 95_73 ,-10.9
Manhattan,W, 90_86 OT,1.6
Canisius,L, 86_74 ,-9.6
Siena,W, 103_95 OT,-3
Rider,W, 82_61 ,6
Marist,W, 83_78 ,-2
Fairfield,W, 80_72 ,10
Saint Peter's,W, 74_64 ,4.9
Canisius,W, 88_81 ,8.6
Niagara,W, 90_88 ,-6.4
Siena,L, 72_70 ,2.1
Marist,L, 103_72 ,-11.2
Niagara,W, 89_80 ,2.9
Manhattan,L, 87_68 ,-6.3
Yale,L, 69_68 ,1.6
