Opponent,Results,Score,PlusMinus
South Dakota,W, 68_46 ,4.9
Abilene Christian,W, 75_47 ,7.2
Canisius,W, 86_64 ,10.4
Siena,L, 72_70 ,-2
Southern Illinois,W, 83_71 ,9.1
Wagner,W, 70_67 ,8.9
Louisiana Tech,L, 76_72 ,-0.8
UMass Lowell,W, 67_58 ,4.8
Buffalo,L, 78_73 ,-0.1
Iona,W, 102_89 ,13.5
Wake Forest,L, 77_62 ,2
Niagara,W, 74_72 ,3
Delaware,W, 80_73 ,9.3
Cornell,W, 81_57 ,10.9
Richmond,W, 84_70 ,4.4
Massachusetts,L, 73_68 ,4.9
Saint Louis,L, 66_60 ,-3.1
George Washington,L, 79_71 ,-2.6
La Salle,W, 66_51 ,2.6
Duquesne,L, 83_81 ,1.9
Massachusetts,W, 78_65 ,2.9
Richmond,L, 64_62 ,2.7
Dayton,L, 72_69 ,3
Fordham,W, 76_65 ,7.7
George Mason,W, 85_73 ,2.3
Duquesne,W, 71_67 ,2.7
Rhode Island,L, 87_78 ,3.3
La Salle,L, 75_67 ,-1.9
Saint Joseph's,L, 83_74 ,-4.3
VCU,L, 86_67 ,-10.3
La Salle,W, 82_72 ,4.7
Saint Louis,W, 71_68 ,-4.6
Saint Joseph's,L, 67_48 ,-2.6
