Opponent,Results,Score,PlusMinus
Marist,W, 71_55 ,5.4
Northeastern,W, 73_66 ,4
Indiana,L, 90_74 ,-7.8
Toledo,L, 103_99 ,-4.8
Florida Atlantic,W, 67_61 ,5.4
Detroit,W, 104_102 3OT,-0.4
St. Francis NY,L, 70_68 ,-0.4
Fairleigh Dickinson,W, 77_62 ,6.7
La Salle,L, 65_57 ,2.2
New Hampshire,W, 67_48 ,7.8
Loyola MD,W, 76_69 ,6.7
Cornell,W, 76_54 ,10.9
VCU,L, 81_63 ,-5.9
Columbia,L, 68_63 ,-1.2
Hartford,W, 73_50 ,1.6
Binghamton,W, 67_47 ,9.5
UMass Lowell,W, 70_65 ,7
UMBC,W, 81_62 ,13.4
Vermont,W, 67_64 ,9.1
Maine,W, 79_61 ,11.2
Albany,L, 77_67 ,-5
Hartford,W, 56_52 ,-0.9
Binghamton,W, 58_53 ,-2.5
New Hampshire,L, 73_69 ,1.6
UMass Lowell,W, 78_68 ,9.6
UMBC,W, 72_53 ,7
Maine,W, 83_79 ,1.6
Vermont,L, 69_53 ,-14.8
Albany,W, 73_68 ,-1.6
Maine,W, 80_54 ,18.6
Hartford,W, 69_64 ,4.7
Albany,L, 69_60 ,-0.6
Siena,L, 66_55 ,-2.4
