Opponent,Results,Score,PlusMinus
Cornell,W, 82_60 ,0.9
Fordham,W, 89_74 ,16.8
Colgate,W, 69_50 ,7.9
St. Francis NY,W, 56_50 ,1.4
Minnesota,W, 75_67 ,4.5
California,W, 92_81 ,2.7
Baylor,W, 74_67 ,7.9
Indiana,W, 69_52 ,8.1
Binghamton,W, 93_65 ,16.1
St. John's,W, 68_63 ,4.9
High Point,W, 75_54 ,6
Villanova,W, 78_62 ,0.6
Eastern Michigan,W, 70_48 ,11.5
Miami FL,W, 49_44 ,1.2
Virginia Tech,W, 72_52 ,7.6
North Carolina,W, 57_45 ,8.3
Boston College,W, 69_59 ,1.8
Pittsburgh,W, 59_54 ,2.1
Miami FL,W, 64_52 ,6
Wake Forest,W, 67_57 ,3.8
Duke,W, 91_89 OT,1.9
Notre Dame,W, 61_55 ,5.2
Clemson,W, 57_44 ,5.5
Pittsburgh,W, 58_56 ,-2.8
North Carolina St.,W, 56_55 ,-0.4
Boston College,L, 62_59 OT,2.2
Duke,L, 66_60 ,0.8
Maryland,W, 57_55 ,6.7
Virginia,L, 75_56 ,-2.6
Georgia Tech,L, 67_62 ,-5.8
Florida St.,W, 74_58 ,5
North Carolina St.,L, 66_63 ,-1.7
Western Michigan,W, 77_53 ,14.1
Dayton,L, 55_53 ,-2.3
