Opponent,Results,Score,PlusMinus
Iowa St.,L, 80_50 ,-11.6
IPFW,W, 72_71 ,-1.6
Tennessee Tech,L, 62_60 ,-3.3
UT Rio Grande Valley,W, 72_61 ,11.7
Rice,L, 63_61 ,-1
UTSA,L, 87_76 ,-11.7
Central Michigan,L, 68_64 ,-3.9
Houston,L, 78_67 ,-1.9
Oklahoma,L, 78_56 ,-12.5
Cal St. Northridge,L, 67_66 ,-1.2
Minnesota,L, 65_44 ,-12.9
Central Arkansas,W, 81_66 ,7.8
Oral Roberts,W, 71_64 ,4.6
Northwestern St.,W, 101_87 ,5.6
Stephen F. Austin,L, 80_70 ,-8.7
McNeese St.,W, 77_61 ,13.6
Nicholls St.,W, 70_67 ,-1.2
Southeastern Louisiana,W, 74_71 ,-2.8
New Orleans,L, 70_62 ,-5.4
Sam Houston St.,L, 78_74 ,-3.5
Lamar,W, 58_35 ,9.8
Incarnate Word,L, 82_78 ,-7.9
Abilene Christian,W, 71_69 ,-2.8
Central Arkansas,W, 84_73 ,3.9
Oral Roberts,W, 74_72 OT,-1.2
Houston Baptist,W, 66_61 ,4.6
Houston Baptist,W, 65_45 ,14.7
McNeese St.,W, 67_51 ,5.9
Nicholls St.,W, 58_44 ,9.5
Sam Houston St.,L, 69_63 ,-7.3
Northern Colorado,W, 82_71 ,3
Pacific,L, 89_60 ,-11.4
