Opponent,Results,Score,PlusMinus
NJIT,W, 75_64 ,5.9
Southern,W, 79_73 ,1.1
Loyola Chicago,W, 65_59 ,-6.2
Northern Kentucky,L, 91_86 OT,1.7
Colgate,L, 98_86 ,-12.5
Texas St.,L, 70_52 ,-6.2
Southeast Missouri St.,L, 102_72 ,-13.6
Wake Forest,L, 72_57 ,-6
Jackson St.,W, 70_65 ,3.5
Washington,L, 73_62 ,-6.8
Alabama St.,W, 84_66 ,9.1
Northeastern,W, 65_62 ,1.9
Kansas St.,L, 72_41 ,-13.7
Hofstra,W, 61_58 ,-2
Tulsa,L, 97_71 ,-16.5
North Texas,W, 73_62 ,6.5
Louisiana Tech,L, 73_45 ,-12
Rice,W, 58_41 ,6.4
East Carolina,W, 59_54 ,0.6
Old Dominion,L, 70_64 ,-7.6
Southern Miss,L, 78_47 ,-11.9
Charlotte,W, 64_63 ,4.2
Marshall,W, 68_65 ,6.8
Middle Tennessee,L, 71_44 ,-11.5
UAB,W, 86_80 ,8.5
UTEP,L, 72_54 ,-6.1
UTSA,W, 68_56 ,3
Florida Atlantic,W, 72_64 ,-3.6
FIU,L, 73_47 ,-9.5
Southern Miss,L, 68_51 ,-8.6
North Texas,W, 66_61 ,-7.1
Tulsa,L, 70_49 ,-7.6
Princeton,L, 56_55 ,-6.2
