Opponent,Results,Score,PlusMinus
Creighton,L, 96_70 ,-11.4
Nebraska Omaha,L, 101_71 ,-22.8
Tennessee Martin,W, 79_67 ,4.1
Iowa St.,L, 110_51 ,-26.3
Milwaukee,L, 84_79 ,-3.5
Louisville,L, 90_62 ,-16.2
Youngstown St.,W, 88_80 ,4.8
Indiana St.,L, 74_63 ,-5.2
Miami OH,W, 69_55 ,5.7
Wright St.,L, 61_49 ,-8.5
South Dakota St.,L, 65_60 ,0.5
Idaho,W, 80_74 ,2.5
Seattle,W, 95_84 ,10.8
Chicago St.,L, 68_66 ,-3
UT Rio Grande Valley,L, 78_66 ,-11.6
New Mexico St.,W, 68_66 ,6.5
Utah Valley,L, 66_48 ,-4.2
Cal St. Bakersfield,W, 70_69 ,-3.5
Southeast Missouri St.,L, 91_81 ,-3
Grand Canyon,L, 72_53 ,-6.1
Chicago St.,L, 81_74 ,-5.2
New Mexico St.,L, 71_48 ,-9.3
UT Rio Grande Valley,L, 68_59 ,-5.7
Cal St. Bakersfield,L, 74_69 ,-6
Utah Valley,W, 74_56 ,11.7
Grand Canyon,W, 85_80 ,-2
Seattle,W, 82_73 ,2
Idaho,L, 87_80 ,-1.7
Idaho,L, 73_70 ,-0.8
