Opponent,Results,Score,PlusMinus
High Point,W, 82_74 ,4.6
East Carolina,L, 85_84 ,6.8
Louisiana Tech,L, 99_62 ,-8.1
San Diego,L, 83_71 ,-5.7
Stetson,W, 75_68 ,-0.9
Presbyterian,L, 87_66 ,-13
North Carolina,L, 81_50 ,-14.3
Rutgers,L, 89_72 ,-12.3
James Madison,W, 78_65 ,0.8
Wake Forest,L, 59_51 ,-5
Virginia Tech,W, 55_52 ,-2
North Carolina St.,L, 68_64 ,-3.3
Western Carolina,L, 72_51 ,-7.3
Furman,W, 90_82 ,3.5
Appalachian St.,W, 66_60 ,3.6
The Citadel,W, 69_65 OT,-5.5
Davidson,L, 93_82 ,-6
Samford,L, 88_78 ,-7.8
Chattanooga,L, 77_67 ,-3.4
Appalachian St.,W, 66_61 ,-5.1
Georgia Southern,L, 64_62 ,-1.5
Elon,L, 72_66 ,-5.1
Georgia Southern,W, 68_56 ,0.1
Western Carolina,L, 82_77 OT,0.9
Elon,L, 81_68 ,-7.1
Chattanooga,W, 88_84 ,1.7
Davidson,L, 79_46 ,-12
Wofford,W, 73_71 ,-4.2
The Citadel,L, 86_76 ,-7.5
