Opponent,Results,Score,PlusMinus
Portland St.,W, 67_48 ,4.5
UC Santa Barbara,L, 86_65 ,-10.1
Nebraska Omaha,W, 73_70 ,6.1
Arizona St.,L, 86_80 ,0.6
Illinois,L, 61_59 ,2.1
Tennessee Martin,W, 85_55 ,9.9
Arizona,L, 63_58 ,-0.9
Southern Utah,W, 73_51 ,10.4
Radford,W, 81_62 ,9.5
Sacred Heart,W, 82_50 ,19.5
Santa Clara,W, 92_71 ,5.4
Mississippi St.,W, 82_66 ,9.8
Cal St. Fullerton,W, 83_64 ,11.3
Fresno St.,W, 75_62 ,5.3
Air Force,L, 75_68 ,-4
Nevada,L, 74_71 ,-2.5
New Mexico,W, 76_73 ,4.8
San Diego St.,L, 63_52 ,-7.4
Utah St.,W, 62_42 ,6.5
Fresno St.,W, 75_73 OT,-3
San Jose St.,W, 70_46 ,11.1
Boise St.,W, 73_69 ,-5.3
Colorado St.,L, 75_57 ,-10.9
Wyoming,W, 48_46 ,3.4
Utah St.,W, 73_62 ,1.9
New Mexico,L, 68_56 ,-8.3
Boise St.,L, 91_90 OT,1.3
Colorado St.,W, 78_70 ,7.2
Air Force,W, 93_67 ,12.2
San Diego St.,L, 73_64 ,0.2
Nevada,L, 76_72 ,5
Wyoming,W, 71_67 ,0.9
San Diego St.,L, 59_51 ,-4.6
